DbName,Operation,CurrentSet,TransactionsNumber,TimeInMilliseconds
sqlite,Upload,4,8,7716
sqlite,Upload,4,9,6069
sqlite,Download,4,1,108330
sqlite,RAM,4,1,1189
sqlite,Upload,5,1,10513
sqlite,Upload,5,2,8329
sqlite,Upload,5,3,8118
sqlite,Upload,5,4,8251
sqlite,Upload,5,5,7782
sqlite,Upload,5,6,7921
sqlite,Upload,5,7,7510
sqlite,Upload,5,8,7396
sqlite,Upload,5,9,5882
sqlite,Download,5,1,109828
sqlite,RAM,5,1,1301
mssql,Upload,1,1,144605
mssql,Download,1,1,191729
mssql,RAM,1,1,1515
mssql,Upload,2,1,145156
mssql,Download,2,1,191513
mssql,RAM,2,1,1360
mssql,Upload,3,1,142871
mssql,Download,3,1,193179
mssql,RAM,3,1,1651
mssql,Upload,4,1,144898
mssql,Download,4,1,199338
mssql,RAM,4,1,1338
mssql,Upload,5,1,144881
mssql,Download,5,1,191582
mssql,RAM,5,1,1563
oracle,Upload,1,1,684610
oracle,Download,1,1,157964
oracle,RAM,1,1,1161
oracle,Upload,2,1,688964
oracle,Download,2,1,164844
oracle,RAM,2,1,1170
oracle,Upload,3,1,710733
oracle,Download,3,1,158877
oracle,RAM,3,1,1216
oracle,Upload,4,1,689530
oracle,Download,4,1,156577
oracle,RAM,4,1,1198
oracle,Upload,5,1,712102
oracle,Download,5,1,159607
oracle,RAM,5,1,1305
mariadb,Upload,1,1,120085
mariadb,Download,1,1,192661
mariadb,RAM,1,1,1587
mariadb,Upload,2,1,115583
mariadb,Download,2,1,191631
mariadb,RAM,2,1,1498
mariadb,Upload,3,1,117877
mariadb,Download,3,1,192084
mariadb,RAM,3,1,1882
mariadb,Upload,4,1,117040
mariadb,Download,4,1,189733
mariadb,RAM,4,1,1941
mariadb,Upload,5,1,116361
mariadb,Download,5,1,190621
mariadb,RAM,5,1,1613
sqlite,Upload,1,1,59495
sqlite,Download,1,1,106737
sqlite,RAM,1,1,1173
sqlite,Upload,2,1,60947
sqlite,Download,2,1,107873
sqlite,RAM,2,1,938
sqlite,Upload,3,1,61262
sqlite,Download,3,1,108854
sqlite,RAM,3,1,929
sqlite,Upload,4,1,59954
sqlite,Download,4,1,106712
sqlite,RAM,4,1,1180
sqlite,Upload,5,1,59791
sqlite,Download,5,1,107208
sqlite,RAM,5,1,931
